Reason,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking,Previously infected,Not previously infected,    Unsure C-19 diagnosis,    Did not report a C-19 diagnosis
Don’t trust COVID-19 vaccines,TX,1543453,118846,845662,373727,119592,85626,665597,877855,486379,733364,281546,15605,26559,108635,613013,502595,319209,877472,8756,107192,544868,5164,88788,334681,245339,406818,233801,109542,124484,1023149,520304,486467,1056985,-,1161225,363533,18694,236555,108538,166654,127158,110444,103117,88822,30529,571636,837868,390682,260024,241825,26997,470434,21401,64426,83662,301397,10075,8455,-,1619,1499002,24653,606995,281863,50593,68065,535936,946567,56473,4476,-,535936,502367,381865,55220,68065,535936,783373,120815,99798,3531,535936,327990,1208398,7064,-
Don’t trust the government,TX,1089160,67579,574435,299434,84404,63308,595894,493265,261102,576951,235245,3229,12632,40570,366960,404470,277159,556190,6229,111730,415011,-,106752,272272,143364,360535,105386,15395,85454,651386,437774,311324,777836,-,836423,234042,18694,96445,33848,117133,102983,79378,99215,86961,17165,456033,589849,323839,229151,155456,28100,340878,9144,26081,86160,259118,3834,10166,-,1619,1034785,39107,432173,202391,51078,-,403518,597881,80652,7109,-,403518,384536,257818,43288,-,403518,546801,125687,9622,3531,403518,235482,850854,2824,-
Other,TX,683674,88033,103414,216658,168799,106770,272340,411334,190392,384520,81164,6902,20696,34217,142069,300296,207092,412203,30829,83765,141499,15378,36566,168065,146925,101693,149108,15842,65474,324546,359128,155684,527989,-,483372,178835,21466,23074,35384,82180,65972,19381,66429,32657,51856,306740,384747,93777,60584,37898,40607,132441,19002,10466,38600,167485,-,6817,12960,-,624142,39755,332438,66743,41409,-,243084,388093,39414,13875,4236,238056,311733,110062,23822,-,238056,377828,46136,16670,4983,238056,251114,420684,11028,848
Did not report,TX,36118,9419,17660,7979,-,1061,31767,4351,-,12170,6288,3290,14370,-,-,31137,4981,11269,-,1061,23788,-,1061,9419,3290,20658,1691,-,-,7979,28139,20658,15461,-,22349,13769,-,-,1061,-,-,-,-,-,1691,33366,2752,1061,1061,1061,-,-,-,-,-,33366,-,-,-,-,36118,-,1691,1061,-,-,33366,1691,-,1061,-,33366,1691,1061,-,-,33366,1691,-,1061,-,33366,15461,20658,-,-
Total,UT,554846,115200,186765,157524,55364,39994,311764,243081,64877,442941,6536,1636,38856,38491,225857,182822,107675,301148,20593,62834,168892,1379,20723,118743,95115,100067,86777,73508,59913,277869,276977,100359,452935,1551,396373,154913,3560,80936,62677,43138,57310,64981,51452,14542,10564,169246,382700,114636,136177,31092,14941,178111,4930,5171,3044,94855,1053,5841,3088,4466,543449,1161,304804,97998,10749,12599,128695,324626,83769,3271,12599,130580,237394,139953,37943,12599,126956,345153,57789,12348,12599,126956,109811,438720,6314,-
Concerned about possible side effects,UT,313255,80136,98131,79229,29660,26100,177122,136134,26221,254030,6536,-,26470,13547,112375,118391,68943,153772,9917,41187,107533,846,4996,79875,50645,63329,52901,23821,37688,158038,155217,48499,263472,1285,226033,84716,2507,40253,33610,26850,33838,43319,21080,7091,8512,98702,197069,81163,83039,22362,14941,105669,768,1655,2066,66572,-,2665,1845,3413,304171,1161,170992,37232,5549,12599,86882,177628,33134,1127,12599,88767,133789,57593,24131,12599,85143,167212,39939,8362,12599,85143,55774,251167,6314,-
Don’t know if a vaccine will work,UT,133762,29664,54591,31964,7503,10041,79057,54705,6689,123388,1205,-,2480,3145,52839,51957,25822,65850,4839,20280,41947,846,1446,48412,8834,24290,21815,7219,21747,68919,64843,20931,112831,-,95659,36881,1222,18551,16926,7638,17902,27228,5895,2182,5893,31547,91848,42095,27794,3532,-,55867,423,-,807,18818,-,2665,807,-,129444,846,79519,6786,1570,12599,33287,81029,4333,630,12599,35172,60484,26258,2873,12599,31547,79493,7814,2308,12599,31547,21813,106712,5238,-
Don’t believe I need a vaccine,UT,167476,37277,62064,51850,12728,3557,121821,45654,13537,140080,5331,-,8528,8987,60035,60206,38247,92325,4841,19436,50028,846,5626,41000,28316,29405,26652,11162,25315,90975,76500,32240,135236,-,142505,23749,1222,9012,14484,23312,21065,35230,9109,8126,5557,41581,123584,22246,52463,8485,1641,64680,-,-,-,17599,-,2665,-,-,163649,1161,115960,11844,7102,-,32570,121300,10222,1500,-,34455,85533,40772,8602,-,32570,126906,8000,-,-,32570,43019,120789,3667,-
Don’t like vaccines,UT,83089,22027,24966,21402,6788,7905,57118,25971,6689,74452,-,-,1948,1885,37560,39705,3939,50971,689,10042,21386,-,1305,29316,8492,4412,17550,15833,6181,30827,52262,38358,44465,266,50716,32373,-,19825,18900,4651,4888,17325,1360,2200,1432,12508,54114,51398,30590,4285,-,34315,423,266,-,8763,-,-,-,-,82774,315,35794,24820,266,12599,9609,40596,18399,-,12599,11494,41256,17424,2200,12599,9609,51201,7346,2333,12599,9609,8432,70990,3667,-
Doctor has not recommended it,UT,39180,10676,3012,17518,5844,2131,21075,18105,-,37233,-,-,1948,1885,12217,14064,11015,22013,266,5644,10724,533,1931,5610,8584,3979,3206,4568,11301,22025,17155,7218,31696,266,26856,12324,-,3628,1885,3934,9864,1105,1139,666,-,16960,26851,5039,3579,1077,-,7473,1139,1343,-,9817,-,-,1038,-,38142,-,19801,3191,266,-,15922,17440,3934,-,-,17807,19322,3937,-,-,15922,19056,1885,2318,-,15922,8044,27469,3667,-
Plan to wait and see if it is safe,UT,226711,54020,91118,52740,19197,9636,118162,108549,34841,173952,1205,1636,15076,28480,56794,83791,57647,147745,7466,18367,53133,-,4880,69206,30268,46569,27414,21777,26597,113148,113563,24798,201913,-,155197,69239,2275,24983,21891,2815,21614,29292,24065,11932,9705,80414,162563,48921,39581,9510,1641,70015,345,1348,1437,44359,1053,3176,3088,4466,219141,-,122042,44478,2647,-,57544,150587,15876,820,-,59429,105449,56774,8684,-,55805,148758,16953,5195,-,55805,60343,164798,1570,-
Other people need it more right now,UT,157319,53969,67690,26129,7161,2371,108383,48937,29051,101087,-,-,27182,22047,53881,60777,20615,91297,266,5451,60306,-,4676,30605,8860,31250,10852,42280,28796,77457,79862,17424,139630,266,129073,28246,-,58827,3395,4975,13124,9006,11610,2190,2048,52144,118621,39439,32806,7892,1641,48351,1284,670,-,26180,-,-,1845,-,155475,-,93821,29104,1000,-,33395,91022,32273,630,-,33395,76445,49219,-,-,31655,118438,5918,1308,-,31655,31150,122502,3667,-
Concerned about the cost,UT,23778,4933,7911,4692,4378,1864,9028,14749,5578,16335,-,-,1864,1885,6384,8366,7143,12999,-,1984,8794,-,645,9670,1574,932,345,7233,3379,12421,11357,3510,20268,-,22736,1042,-,3413,3712,1042,2084,2300,4933,-,2048,4247,20063,7261,7497,2617,-,16540,345,-,-,2263,-,-,-,3413,20364,-,16750,2493,-,-,4535,14865,2493,-,-,6420,3138,17844,-,-,2796,15422,3067,2493,-,2796,13350,10428,-,-
Don’t trust COVID-19 vaccines,UT,169678,36556,40191,58103,15651,19177,94847,74831,10992,156206,-,-,2480,6047,87875,50558,25198,89170,7783,29561,42319,846,1944,41348,24535,33112,24439,23061,21240,90373,79305,47927,121750,-,111424,58254,-,12773,26183,20763,22148,35898,16176,5566,3143,27028,116249,42565,61714,6481,-,57393,423,403,807,18517,-,2665,190,-,165662,1161,93319,35400,4472,12599,23888,109828,20540,937,12599,25773,77731,45490,9969,12599,23888,113115,16368,3708,12599,23888,16829,147611,5238,-
Don’t trust the government,UT,138534,32971,32963,45689,13320,13591,96277,42256,12219,119973,-,-,6342,7344,70097,39061,22030,61434,4682,26480,45091,846,5228,33594,22547,27719,19008,15710,14727,74422,64112,35118,103149,266,86673,51861,-,10313,21767,14245,19751,20070,10181,5190,3334,33683,88818,30357,43641,2137,-,41393,345,266,1045,21970,-,-,-,-,137373,1161,76224,16749,1343,12599,31618,80809,11314,307,12599,33503,53417,30324,10575,12599,31618,77163,14630,2523,12599,31618,17624,117242,3667,-
Other,UT,83839,7598,16927,36245,13576,9493,45729,38110,9204,70306,-,-,4329,7835,25090,28773,22141,63453,-,8711,11675,-,2590,17481,15428,15735,19376,4398,8832,52106,31733,24906,58933,-,60726,23113,-,3104,3293,20181,9649,6386,10911,1944,1574,26797,54984,13412,27269,3135,-,28035,345,3250,347,17161,-,2665,190,-,80984,-,48019,10461,2902,-,22457,48152,12586,644,-,22457,37722,20114,3546,-,22457,49592,10104,1686,-,22457,24165,56008,3667,-
Did not report,UT,1739,-,1739,-,-,-,-,1739,-,1739,-,-,-,-,-,1739,-,1739,-,-,-,-,-,-,-,-,-,-,1739,1739,-,-,1739,-,1739,-,-,-,-,-,1739,-,-,-,-,-,1739,1739,-,1739,-,-,1739,-,-,-,-,-,-,-,1739,-,-,1739,-,-,-,1739,-,-,-,-,-,1739,-,-,-,1739,-,-,-,-,-,1739,-,-
Total,VA,1202031,112773,454693,381579,161807,91180,487612,714420,118448,658033,268853,67241,89457,84748,477106,401979,238198,566117,9693,129162,472268,24791,69975,307849,224471,269014,217588,59179,53955,569573,632459,244902,942420,14709,676747,511956,13329,148545,96887,67240,116220,117704,95541,46142,19764,493988,661923,212010,151283,82687,64800,319281,29750,159100,17260,278304,29145,5031,28643,1839,1128639,15643,594437,146714,22884,-,437997,705839,47778,10417,-,437997,438628,245562,79216,629,437997,577489,111388,74208,-,438947,200322,981669,6711,13329
Concerned about possible side effects,VA,656839,63149,268661,226663,59397,38969,163653,493186,74632,326040,146599,37346,72222,21798,274127,233144,127770,349006,1157,67808,238867,-,27398,113850,120871,168793,148264,47456,30207,391018,265821,109545,545914,1380,354242,302597,-,26924,69606,21743,57064,67918,66964,16150,12466,318005,338047,151315,104298,54922,46628,174244,12409,70526,6094,167771,25829,404,25689,1839,607672,2314,293687,61900,7267,-,293986,333087,29766,-,-,293986,231996,99163,31066,629,293986,292615,49316,19973,-,294935,106408,545129,5302,-
Don’t know if a vaccine will work,VA,234482,18399,83704,97680,26243,8457,84612,149871,29954,113683,54940,23237,12669,-,88330,92390,53762,114430,-,53954,66098,-,12545,61181,58380,54696,13396,15885,18399,108329,126153,60703,173779,-,128423,106059,-,11700,29930,9031,23486,44353,23903,-,2464,89615,123299,53704,25385,29935,39781,48373,-,16187,-,45931,18921,-,456,1839,213266,-,111870,33623,6161,-,82829,135442,16211,-,-,82829,91100,43944,16610,-,82829,127050,12111,12492,-,82829,40704,193778,-,-
Don’t believe I need a vaccine,VA,217833,9997,27680,129881,28946,21329,148094,69739,10470,111076,59315,9074,27898,48179,51608,52854,65191,129876,-,16618,71338,-,6914,67577,24072,33166,31262,44426,10417,109994,107839,62473,155360,-,172448,45385,-,47259,5682,-,20888,36130,12901,6818,13102,75053,172837,59676,14084,2210,20852,48995,-,49317,4797,23774,12669,4627,2912,-,195311,2314,119870,27591,16578,-,53794,139510,14111,10417,-,53794,126282,27339,10417,-,53794,138217,-,25822,-,53794,10364,206059,1409,-
Don’t like vaccines,VA,121346,-,55006,32208,18099,16034,69922,51424,10470,48847,18326,-,43703,-,64486,33108,23751,65423,-,8332,47591,-,24584,10343,25731,19069,31201,-,10417,77959,43387,47230,74116,-,68950,52396,-,-,31034,2554,7800,11945,2011,-,2464,63538,58699,31424,31034,12179,5778,31340,6400,5778,-,2869,12669,-,-,1839,106839,-,38384,19424,10417,-,53120,49397,8411,10417,-,53120,46222,11586,10417,-,53120,51408,6400,10417,-,53120,-,121346,-,-
Doctor has not recommended it,VA,71157,14109,11813,23743,11347,10144,41026,30130,8459,36813,5090,-,20795,10144,-,39435,21577,34303,1237,8126,27491,-,11381,4674,36032,19069,-,-,-,19069,52088,7827,63330,-,54686,16471,-,11381,5021,-,20509,20008,-,-,-,14238,52569,10028,8444,6400,-,24440,6400,-,-,-,12669,-,-,-,58488,-,13216,43704,-,-,14238,49282,7638,-,-,14238,42324,9506,5090,-,14238,39137,17782,-,-,14238,5090,66067,-,-
Plan to wait and see if it is safe,VA,452967,62031,143524,149861,76006,21544,173743,279223,58396,227166,98839,40693,27872,5887,120382,221543,105154,254552,9693,70856,117866,-,18396,96027,104589,110326,60527,41885,21216,249544,203423,62046,390920,-,281701,171266,-,15638,31546,6211,63873,65506,36091,9030,9104,215967,259065,93821,49876,42243,45988,93138,10771,28715,5629,120726,22892,-,16769,1839,416060,2314,178990,69885,1106,-,202986,230980,19001,-,-,202986,151236,74533,23583,629,202986,211488,24351,13192,-,203935,68145,379520,5302,-
Other people need it more right now,VA,175401,33626,68782,40460,20970,11564,60507,114894,29563,93550,24640,6271,21377,13085,41813,66083,54421,89867,-,25678,59856,-,8860,49216,38504,50103,9949,371,18399,76323,99078,24207,151194,-,86853,88548,-,14203,4081,6342,15610,19914,26913,11758,-,76581,97596,19518,22124,6612,5778,36922,-,21884,-,47107,12669,-,-,-,162732,-,68339,29922,7267,-,69873,91154,14374,-,-,69873,51979,29715,23835,-,69873,68915,6713,29900,-,69873,18966,155025,1409,-
Concerned about the cost,VA,54590,22412,14421,17757,-,-,22412,32177,2705,46884,5001,-,-,-,32463,22126,-,2705,-,3535,25937,22412,-,-,25118,15051,14421,-,-,17757,36833,32463,22126,-,27413,27177,-,25118,1466,-,10051,-,-,-,-,17955,41834,10051,27177,14421,-,18592,-,2705,-,-,-,-,-,-,54590,-,33929,6240,-,-,14421,30118,10051,-,-,14421,11517,28652,-,-,14421,30118,10051,-,-,14421,6240,48350,-,-
Don’t trust COVID-19 vaccines,VA,344458,-,151263,137382,26732,29080,142750,201708,34550,185755,68371,3153,52628,16401,163176,118101,46780,178192,-,40974,125292,-,38829,50640,60684,49382,98477,31517,14929,234095,110363,77943,266515,-,208572,135886,-,47168,50785,590,25601,56119,19366,1887,4948,137994,201925,91464,66951,12179,50417,135744,18552,53927,5798,25951,25829,-,6907,-,318629,-,168385,49214,7927,-,118932,207236,18290,-,-,118932,136919,71412,17195,-,118932,192860,26505,6161,-,118932,26290,312866,5302,-
Don’t trust the government,VA,291420,9997,108595,103553,33777,35498,146151,145270,16271,152269,40337,28844,53700,5887,121484,96445,67605,165612,-,49490,76319,-,33544,64448,60251,41915,55216,25628,10417,161105,130316,82726,207314,1380,156318,135102,-,20874,57336,590,17482,24282,19233,1887,13102,136634,132707,73947,51571,27582,18062,80156,8038,24360,4797,44276,25829,-,6907,1839,261439,2314,120819,48343,10417,-,111841,159438,9724,10417,-,111841,99178,58971,21431,-,111841,162270,6892,10417,-,111841,50731,235387,5302,-
Other,VA,218103,23621,88310,51720,23984,30467,96178,121924,3194,192145,9139,10561,3064,-,35606,109842,72655,110946,-,14983,89795,2378,6154,80951,51028,56162,8041,11351,4416,68685,149418,26354,191749,-,150936,67167,-,5706,1798,34733,33410,20588,30476,28289,9603,53500,132641,52625,24332,22055,-,91245,6827,2705,14481,38720,13160,-,11449,-,200401,-,137368,35267,3433,-,42035,169729,6339,-,-,42035,76217,81515,18336,-,42035,126483,19827,28808,-,42984,58732,159370,-,-
Did not report,VA,27696,3590,16349,1305,6452,-,24217,3479,-,12831,-,14865,-,-,13329,7146,7221,25909,-,-,1787,-,296,9602,3590,14208,-,-,-,1305,26391,879,13488,13329,8788,5579,13329,-,-,296,-,3555,879,3590,1110,18266,10468,296,-,3590,879,879,-,-,-,16349,-,-,-,-,14367,13329,6487,4434,-,-,16775,10921,-,-,-,16775,6191,4730,-,-,16775,7366,3555,-,-,16775,722,13645,-,13329
Total,VT,59882,1435,21954,12674,15519,8299,31987,27895,3750,45659,1004,8311,1158,755,24268,17232,17627,38764,5465,6897,8756,-,6644,18589,13222,11565,5070,3501,1291,23200,36682,12787,47095,-,42874,17008,-,9568,970,14904,7719,2593,2330,1246,910,19643,43051,7363,6130,624,5234,21574,1035,1467,386,9294,-,502,-,-,59380,-,32412,11844,368,-,15257,36554,6252,1818,-,15257,28362,14657,1606,-,15257,35148,9108,368,-,15257,9563,49369,949,-
Concerned about possible side effects,VT,38507,890,15036,7224,10221,5137,22740,15767,494,27817,1004,8311,881,494,15638,9561,12814,26507,3178,4298,4524,-,4491,11777,7342,10830,2543,1525,-,14226,24281,5784,32724,-,27298,11209,-,6209,328,12590,5676,785,949,377,185,11409,30108,5054,2551,290,444,17211,490,872,-,5648,-,-,-,-,38507,-,22889,7313,368,-,7937,26876,2745,949,-,7937,21680,7285,1606,-,7937,25433,4769,368,-,7937,6482,31076,949,-
Don’t know if a vaccine will work,VT,25248,890,11386,1526,8869,2577,19958,5290,-,16937,-,8311,-,-,11567,4476,9205,18669,2046,2457,2075,-,2563,9182,5398,8105,-,-,-,7216,18032,4792,20457,-,19219,6029,-,2200,-,10530,4003,340,-,377,-,7798,20907,531,531,-,154,14533,-,669,-,3964,-,-,-,-,25248,-,16488,4796,-,-,3964,19238,2046,-,-,3964,18414,2715,154,-,3964,21284,-,-,-,3964,4118,21130,-,-
Don’t believe I need a vaccine,VT,9500,-,3621,1463,4416,-,5381,4119,-,9500,-,-,-,-,5517,1888,2095,7293,-,1021,1186,-,517,368,6742,946,405,521,-,4767,4733,1591,7909,-,9123,377,-,154,445,669,3877,477,-,377,725,2776,7231,405,531,-,559,5068,-,669,-,1892,-,-,-,-,9500,-,6417,669,-,-,2413,6887,200,-,-,2413,6263,669,154,-,2413,6887,200,-,-,2413,2123,7377,-,-
Don’t like vaccines,VT,6276,-,1079,1348,3848,-,4211,2065,-,6276,-,-,-,-,3472,1726,1078,3812,-,377,2087,-,517,1057,4033,669,-,-,-,854,5422,1186,5090,-,5899,377,-,154,-,669,4188,340,-,377,185,362,5352,547,893,-,154,4141,-,669,-,-,-,-,-,-,6276,-,5059,854,-,-,362,5913,-,-,-,362,4905,854,154,-,362,5729,185,-,-,362,154,6122,-,-
Doctor has not recommended it,VT,2632,-,-,2632,-,-,290,2343,-,2632,-,-,-,-,-,2632,-,1673,-,-,959,-,-,290,-,669,1673,-,-,959,1673,669,1963,-,2632,-,-,-,-,959,1673,-,-,-,-,-,2632,-,-,-,-,959,-,669,-,-,-,-,-,-,2632,-,1963,669,-,-,-,2632,-,-,-,-,290,2343,-,-,-,2632,-,-,-,-,-,2632,-,-
Plan to wait and see if it is safe,VT,31719,890,14345,5098,4994,6392,19840,11879,889,21360,-,8311,1158,494,9806,9349,12070,23280,4516,1152,2770,-,3765,10187,3792,8935,2543,2497,-,13281,18438,5438,26280,-,23618,8101,-,4235,-,9560,2610,502,1384,869,185,12374,26224,3896,881,335,405,11183,-,537,-,5107,-,502,-,-,31216,-,18687,4676,368,-,7987,19296,2617,1818,-,7987,16222,6057,1452,-,7987,19650,3713,368,-,7987,4562,26207,949,-
Other people need it more right now,VT,13642,-,12274,991,377,-,12637,1005,-,5331,-,8311,-,261,3075,918,9389,11791,-,377,1474,-,739,8601,822,3075,405,-,-,4215,9427,3997,9645,-,9930,3712,-,415,-,8601,405,-,-,377,185,3660,9745,590,531,-,559,9006,-,261,261,3075,-,-,-,-,13642,-,10160,185,-,-,3297,10345,-,-,-,3297,10006,185,154,-,3297,10160,185,-,-,3297,3229,10413,-,-
Concerned about the cost,VT,2053,-,762,1291,-,-,-,2053,-,2053,-,-,-,-,2053,-,-,1291,-,762,-,-,-,-,-,762,-,-,1291,2053,-,1291,762,-,1291,762,-,762,-,-,-,-,-,-,-,1291,762,-,-,-,-,-,-,-,-,1291,-,-,-,-,2053,-,762,-,-,-,1291,762,-,-,-,1291,-,762,-,-,1291,-,762,-,-,1291,762,1291,-,-
Don’t trust COVID-19 vaccines,VT,16019,-,4547,1613,9237,622,7832,8187,494,15525,-,-,-,755,12062,2266,936,9266,622,2294,3837,-,999,2531,7551,4418,-,521,-,7382,8637,2348,13671,-,13363,2656,-,2433,128,2508,4556,500,-,377,-,5517,12333,494,881,-,1678,7123,-,930,261,1524,-,-,-,-,16019,-,10103,3871,-,-,2045,13846,128,-,-,2045,11258,2562,154,-,2045,13480,494,-,-,2045,1678,14341,-,-
Don’t trust the government,VT,13985,-,2241,4117,6154,1473,8290,5696,2314,11671,-,-,-,-,7310,4982,1693,11158,313,487,2027,-,967,4823,4996,1526,1673,-,-,3340,10645,3625,10360,-,10234,3751,-,641,326,3273,6046,277,949,-,-,2472,8712,487,3466,290,2758,6873,290,669,-,2472,-,-,-,-,13985,-,6965,4549,-,-,2472,7924,2640,949,-,2472,5068,6292,154,-,2472,8250,3264,-,-,2472,1678,11358,949,-
Other,VT,10297,546,2152,3362,1470,2767,3585,6712,546,8870,-,-,881,-,1291,4409,4597,6017,2300,1464,517,-,3504,1309,1983,553,1658,-,1291,3595,6701,2380,7917,-,6120,4177,-,3333,128,881,-,883,946,377,725,3024,7746,2079,2127,290,990,1220,835,-,126,1759,-,-,-,-,10297,-,4314,2959,-,-,3024,4304,2969,-,-,3024,2138,4100,1035,-,3024,5771,1502,-,-,3024,1266,9031,-,-
Did not report,VT,368,-,-,-,368,-,-,368,-,368,-,-,-,-,-,368,-,-,-,368,-,-,-,368,-,-,-,-,-,-,368,-,368,-,368,-,-,-,-,-,368,-,-,-,-,-,368,-,-,-,-,-,-,-,-,-,-,-,-,-,368,-,368,-,-,-,-,368,-,-,-,-,368,-,-,-,-,368,-,-,-,-,-,368,-,-
Total,WA,1187373,196237,378958,364075,159546,88556,610143,577230,183187,797224,61474,77726,67762,108396,373835,478772,226370,593784,33677,147858,408640,3414,68769,316164,240911,204335,157226,76908,123061,489904,697468,339564,828812,18996,731690,453289,2394,80373,57165,63834,133480,151417,93160,37211,27918,542815,632381,229607,169941,100553,97061,271251,44098,98072,33408,287625,10143,6080,18387,1058,1150076,4802,486134,211337,22804,6976,460123,621444,83145,3640,19021,460123,487482,180978,43631,15160,460123,592346,111774,23130,-,460123,187319,995348,2312,2394
Concerned about possible side effects,WA,543860,64797,214169,148215,69551,47128,267551,276309,67176,393615,20122,38319,24629,27045,196255,234614,85947,274377,21001,51844,193224,3414,36915,163788,126901,93860,62625,24977,34795,196937,346923,167149,357715,18996,327752,213714,2394,47525,38148,40118,59966,58599,41707,13829,4378,239590,300990,169030,131236,78258,49330,141895,33571,57305,15752,114746,901,5022,13083,-,522460,2394,205502,125418,12068,-,200872,283363,55764,-,3861,200872,221685,107143,14160,-,200872,276368,54677,11943,-,200872,69112,471454,901,2394
Don’t know if a vaccine will work,WA,166581,22404,62594,37997,31826,11760,77488,89093,9915,133180,2736,5753,14998,16047,31773,87410,31352,81056,7938,19874,57713,-,13267,52483,44278,22374,6140,22618,5419,52333,114248,51864,114717,-,124110,42471,-,1662,18587,11394,27277,25131,14988,5383,11674,50485,113699,56867,58864,24210,17149,57004,18212,12211,3135,21831,-,5022,13083,-,148476,-,54696,66255,-,-,45630,94342,25060,-,1548,45630,69404,50391,1156,-,45630,102671,17260,1020,-,45630,34755,131826,-,-
Don’t believe I need a vaccine,WA,242211,35905,99819,57627,30180,18681,141450,100762,8870,205148,17020,5753,5421,10010,71030,111356,49815,115041,4335,17025,102396,3414,11177,55580,54194,50076,34589,23332,13263,107406,134805,52307,187510,2394,155861,83956,2394,4546,15926,14263,29610,27394,21792,3534,4016,121131,180101,77639,41245,14825,15754,31973,12781,9769,4520,44078,-,5022,-,-,234796,2394,97918,42800,-,6976,94517,110186,27156,1828,8524,94517,100313,35718,4688,6976,94517,133916,13777,-,-,94517,31276,208541,-,2394
Don’t like vaccines,WA,144834,21510,60318,28706,18374,15926,84016,60818,26630,104481,6396,5022,2306,16047,26944,68252,33592,38626,8184,17145,78485,2394,863,33019,33008,15536,9751,5463,47195,53643,91191,74040,68400,2394,115190,27250,2394,18701,11297,178,25671,6963,11240,-,1678,69106,78209,29262,20654,15940,21366,38658,11066,10914,-,22356,8184,5022,-,-,129234,2394,61746,29522,8184,6976,38405,70981,20288,-,15160,38405,64195,27074,-,15160,38405,100676,5752,-,-,38405,27776,114664,-,2394
Doctor has not recommended it,WA,58017,14395,17346,16785,8432,1058,25982,32035,3142,30361,18497,731,5285,-,13198,28161,16657,24331,-,10837,22849,-,1991,14086,7155,7150,1023,24442,2169,29224,28793,20184,37833,-,33887,24130,-,4102,5414,1058,5941,5869,2188,883,-,32562,16816,7784,4989,10529,955,19165,4097,3374,2361,19706,1058,1058,1058,1058,56959,-,14100,11355,-,-,32562,24397,1058,-,-,32562,14886,10569,-,-,32562,22554,2902,-,-,32562,9326,48691,-,-
Plan to wait and see if it is safe,WA,553055,132301,201285,147898,52237,19334,271186,281869,119136,364425,16430,24153,28911,73044,170446,208909,100656,262758,12036,44914,230953,2394,20387,149354,109782,79741,81151,37922,74718,248482,304573,162965,371093,18996,336900,213760,2394,27184,40885,39424,46276,81221,51811,16243,5359,244652,283579,125651,107004,65064,55299,167017,19254,44455,23705,136153,-,5022,15357,-,530282,2394,247187,100962,5687,-,199218,322077,27634,1812,2313,199218,248159,81027,24651,-,199218,292412,58987,2437,-,199218,98129,451121,1411,2394
Other people need it more right now,WA,327934,85007,144225,76066,19832,2804,169073,158861,65079,230619,4102,13513,14620,27488,138961,117990,43495,137936,5431,20592,162954,1020,31879,83787,74368,51825,39366,35457,11251,143456,184477,82277,229054,16602,225873,102061,-,5165,14405,36566,30780,45496,15369,11648,1834,166671,197137,102821,52365,27808,30406,51590,22258,11227,1956,92428,1058,1058,13094,1058,314840,-,105168,59568,-,-,163197,134453,28471,1812,-,163197,109065,49531,6141,-,163197,151690,11235,1812,-,163197,32749,295185,-,-
Concerned about the cost,WA,20775,8301,4688,1624,6162,-,14463,6311,8301,6311,-,731,5431,4688,14844,-,1243,8301,5431,1624,5419,-,6162,8813,1112,4688,-,-,-,5800,14975,5419,15356,-,18931,1844,-,-,4688,5431,1844,-,-,-,-,8813,10630,11962,10850,10118,4688,10850,5431,4688,-,8301,-,-,-,-,20775,-,5199,7274,-,-,8301,7786,4688,-,-,8301,7786,-,4688,-,8301,10630,1844,-,-,8301,-,20775,-,-
